,season,city,team1,team2,venue
255,2011,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
256,2011,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium
257,2011,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens
258,2011,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla
259,2011,Hyderabad,Mumbai Indians,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
260,2011,Jaipur,Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium
261,2011,Chennai,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk"
262,2011,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla
263,2011,Mumbai,Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy
264,2011,Kochi,Deccan Chargers,Kochi Tuskers Kerala,Nehru Stadium
265,2011,Delhi,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla
266,2011,Jaipur,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium
267,2011,Bangalore,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium
268,2011,Kochi,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium
269,2011,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens
270,2011,Jaipur,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium
271,2011,Chennai,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
272,2011,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium
273,2011,Delhi,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla
274,2011,Hyderabad,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
275,2011,Chennai,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
276,2011,Mumbai,Mumbai Indians,Pune Warriors,Dr DY Patil Sports Academy
277,2011,Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium
278,2011,Hyderabad,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
279,2011,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium
281,2011,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium
282,2011,Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium
283,2011,Chandigarh,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali"
284,2011,Jaipur,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium
285,2011,Hyderabad,Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal"
286,2011,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
287,2011,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium
288,2011,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk"
289,2011,Indore,Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium
291,2011,Mumbai,Deccan Chargers,Mumbai Indians,Wankhede Stadium
292,2011,Dharamsala,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium
293,2011,Indore,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium
294,2011,Mumbai,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy
295,2011,Dharamsala,Kings XI Punjab,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium
296,2011,Chennai,Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk"
297,2011,Mumbai,Pune Warriors,Kolkata Knight Riders,Dr DY Patil Sports Academy
298,2011,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium
299,2011,Dharamsala,Deccan Chargers,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
300,2011,Delhi,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla
301,2011,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
302,2011,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens
303,2011,Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium
304,2011,Mumbai,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium
